,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
544,Tamil nadu,TRICHY RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Tamil nadu,TRICHY RURAL,2001,0,0,0,0,0,0,0,6,0,6,0,0,12
546,Tamil nadu,TRICHY URBAN,2001,4,2,0,0,0,0,5,0,3,0,11,0,14
547,Tamil nadu,VELLORE,2001,0,0,0,0,0,0,0,12,0,0,0,0,12
548,Tamil nadu,VILLUPURAM,2001,3,0,0,0,0,1,25,3,0,0,28,1,32
549,Tamil nadu,VIRUDHUNAGAR,2001,2,0,0,0,0,0,0,32,0,14,2,0,48
550,Tripura,DHALAI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Tripura,NORTH,2001,0,0,0,0,0,0,0,1,0,1,0,0,2
552,Tripura,SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Tripura,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Uttar pradesh,AGRA,2001,11,15,8,2,2,2,18,215,0,103,52,6,376
555,Uttar pradesh,ALIGARH,2001,8,12,9,2,0,3,8,1,0,131,37,5,174
556,Uttar pradesh,ALLAHABAD,2001,6,9,6,0,4,7,36,268,0,109,57,11,445
557,Uttar pradesh,AMBEDKAR NAGAR,2001,2,2,2,0,0,0,6,82,0,7,12,0,101
558,Uttar pradesh,AURAIYA,2001,1,2,2,0,0,1,17,1,0,57,22,1,81
559,Uttar pradesh,AZAMGARH,2001,8,1,2,1,4,2,9,5,0,87,20,7,119
560,Uttar pradesh,BADAUN,2001,9,7,2,0,3,5,7,126,0,1,25,8,160
561,Uttar pradesh,BAGHPAT,2001,1,1,0,0,1,0,1,22,0,3,3,1,29
562,Uttar pradesh,BAHRAICH,2001,1,1,0,0,0,1,0,56,0,0,2,1,59
563,Uttar pradesh,BALLIA,2001,4,1,0,0,0,2,9,35,2,24,14,2,77
