,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
1565,Jammu & kashmir,ANANTNAG,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,Jammu & kashmir,AWANTIPORA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,Jammu & kashmir,BARAMULLA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,Jammu & kashmir,BORDER,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,Jammu & kashmir,BUDGAM,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,Jammu & kashmir,CRIME JAMMU,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,Jammu & kashmir,CRIME SRINAGAR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,Jammu & kashmir,DODA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,Jammu & kashmir,GANDERBAL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,Jammu & kashmir,HANDWARA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,Jammu & kashmir,JAMMU,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1576,Jammu & kashmir,KARGIL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,Jammu & kashmir,KATHUA,2003,0,2,0,0,0,0,0,0,0,0,2,0,2
1578,Jammu & kashmir,KULGAM,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,Jammu & kashmir,KUPWARA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,Jammu & kashmir,LEH,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,Jammu & kashmir,POONCH,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,Jammu & kashmir,PULWAMA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,Jammu & kashmir,RAILWAYS,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,Jammu & kashmir,RAJOURI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,Jammu & kashmir,RAMBAN,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,Jammu & kashmir,REASI,2003,1,0,0,0,0,0,0,0,0,1,1,0,2
1587,Jammu & kashmir,SRINAGAR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,Jammu & kashmir,UDHAMPUR,2003,0,0,0,0,0,0,0,0,0,1,0,0,1
1589,Jharkhand,BOKARO,2003,0,0,0,0,0,0,0,7,0,7,0,0,14
1590,Jharkhand,CHAIBASA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,Jharkhand,CHATRA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,Jharkhand,DEOGHAR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,Jharkhand,DHANBAD,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,Jharkhand,DHANBAD RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,Jharkhand,DUMKA,2003,0,0,0,0,0,0,0,4,0,3,0,0,7
1596,Jharkhand,GARHWA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,Jharkhand,GIRIDIH,2003,0,0,0,0,0,2,1,23,0,0,1,2,26
1598,Jharkhand,GODDA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Jharkhand,GUMLA,2003,0,1,0,0,0,0,0,0,0,1,1,0,2
1600,Jharkhand,HAZARIBAGH,2003,0,0,0,0,0,0,4,0,0,0,4,0,4
1601,Jharkhand,JAMSHEDPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Jharkhand,JAMSHEDPUR RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Jharkhand,JAMTARA,2003,0,0,0,0,0,0,3,0,0,1,3,0,4
1604,Jharkhand,KODERMA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Jharkhand,LATEHAR,2003,0,0,0,0,0,0,0,2,0,0,0,0,2
1606,Jharkhand,LOHARDAGGA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Jharkhand,PAKUR,2003,1,1,0,0,0,0,1,0,0,0,3,0,3
1608,Jharkhand,PALAMU,2003,0,0,0,0,0,0,0,0,0,2,0,0,2
1609,Jharkhand,RANCHI,2003,0,0,0,0,0,0,0,0,0,4,0,0,4
1610,Jharkhand,SAHEBGANJ,2003,3,0,0,0,0,0,0,0,0,4,3,0,7
1611,Jharkhand,SARAIKELA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,Jharkhand,SIMDEGA,2003,0,1,0,0,0,0,0,0,0,0,1,0,1
1613,Karnataka,BAGALKOT,2003,3,2,0,0,0,0,12,46,0,40,17,0,103
1614,Karnataka,BANGALORE COMMR.,2003,1,1,0,0,0,0,12,127,9,0,14,0,150
1615,Karnataka,BANGALORE RURAL,2003,5,1,0,0,0,0,0,147,5,0,6,0,158
1616,Karnataka,BELGAUM,2003,0,0,0,0,0,0,0,22,0,0,0,0,22
1617,Karnataka,BELLARY,2003,0,0,0,0,0,0,0,59,12,0,0,0,71
1618,Karnataka,BIDAR,2003,2,1,1,0,0,1,0,29,0,0,4,1,34
1619,Karnataka,BIJAPUR,2003,2,1,1,0,0,0,4,42,1,34,8,0,85
1620,Karnataka,CHAMARAJNAGAR,2003,0,0,0,0,0,0,0,10,0,10,0,0,20
1621,Karnataka,CHICKMAGALUR,2003,1,5,0,0,0,0,0,31,0,0,6,0,37
1622,Karnataka,CHITRADURGA,2003,3,0,0,0,0,0,13,36,7,24,16,0,83
1623,Karnataka,DAKSHIN KANNADA,2003,1,2,0,0,0,0,0,22,0,1,3,0,26
1624,Karnataka,DAVANAGERE,2003,1,0,0,0,0,0,1,31,2,29,2,0,64
1625,Karnataka,DHARWAD COMMR.,2003,0,0,0,0,0,0,0,8,0,8,0,0,16
1626,Karnataka,DHARWAD RURAL,2003,2,1,0,0,0,0,7,19,0,8,10,0,37
1627,Karnataka,GADAG,2003,0,0,0,0,0,0,0,13,0,0,0,0,13
1628,Karnataka,GULBARGA,2003,2,0,0,0,0,2,36,117,3,78,38,2,238
1629,Karnataka,HASSAN,2003,1,1,0,0,0,0,1,49,0,49,3,0,101
1630,Karnataka,HAVERI,2003,0,0,0,0,0,0,0,15,0,15,0,0,30
1631,Karnataka,K.G.F.,2003,0,0,0,0,0,0,0,16,0,0,0,0,16
1632,Karnataka,KODAGU,2003,0,0,0,0,0,0,2,2,0,3,2,0,7
1633,Karnataka,KOLAR,2003,4,3,0,0,0,0,0,88,0,81,7,0,176
1634,Karnataka,KOPPAL,2003,0,0,0,0,0,0,0,38,0,0,0,0,38
1635,Karnataka,MANDYA,2003,0,0,0,0,0,0,0,44,0,44,0,0,88
1636,Karnataka,MYSORE COMMR.,2003,0,1,0,0,0,0,0,0,0,0,1,0,1
1637,Karnataka,MYSORE RURAL,2003,1,0,0,0,0,0,0,30,2,0,1,0,33
1638,Karnataka,RAICHUR,2003,0,2,0,0,0,0,0,49,27,0,2,0,78
1639,Karnataka,RAILWAYS,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,Karnataka,SHIMOGA,2003,2,4,0,0,0,0,11,4,0,9,17,0,30
1641,Karnataka,TUMKUR,2003,0,0,0,0,0,0,0,33,0,3,0,0,36
1642,Karnataka,UDUPI,2003,0,1,0,0,0,0,0,24,0,24,1,0,49
1643,Karnataka,UTTAR KANNADA,2003,0,0,0,0,0,0,0,4,0,0,0,0,4
1644,Kerala,ALAPUZHA,2003,0,0,0,0,0,0,0,10,0,3,0,0,13
1645,Kerala,CBCID,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,Kerala,ERNAKULAM COMMR.,2003,0,1,0,0,0,0,2,9,0,3,3,0,15
1647,Kerala,ERNAKULAM RURAL,2003,0,3,1,0,0,0,6,12,0,8,10,0,30
1648,Kerala,IDUKKI,2003,1,1,0,0,0,0,4,12,0,4,6,0,22
1649,Kerala,KANNUR,2003,0,0,0,0,0,0,5,11,0,8,5,0,24
1650,Kerala,KASARGOD,2003,0,2,0,0,0,1,6,0,0,5,8,1,14
1651,Kerala,KOLLAM,2003,0,4,0,0,0,1,18,11,0,3,22,1,37
1652,Kerala,KOTTAYAM,2003,0,3,0,0,0,0,1,8,0,10,4,0,22
1653,Kerala,KOZHIKODE COMMR.,2003,0,0,0,0,0,0,9,4,0,7,9,0,20
1654,Kerala,KOZHIKODE RURAL,2003,0,1,1,0,0,0,5,15,0,5,7,0,27
1655,Kerala,MALAPPURAM,2003,0,1,0,0,0,0,19,12,0,0,20,0,32
1656,Kerala,PALAKKAD,2003,1,4,0,0,0,0,16,3,0,27,21,0,51
1657,Kerala,PATHANAMTHITTA,2003,1,0,0,0,0,0,0,18,0,1,1,0,20
1658,Kerala,RAILWAYS,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,Kerala,THRISSUR,2003,0,0,0,0,0,0,0,20,0,8,0,0,28
1660,Kerala,TRIVANDRUM COMMR.,2003,0,1,0,0,0,0,2,6,0,3,3,0,12
1661,Kerala,TRIVANDRUM RURAL,2003,0,3,0,1,0,0,18,12,0,24,21,1,58
1662,Kerala,WAYANADU,2003,0,0,0,0,0,0,3,10,0,1,3,0,14
1663,Madhya pradesh,ANUPPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,Madhya pradesh,ASHOK NAGAR,2003,3,8,0,0,2,7,54,0,0,58,65,9,132
1665,Madhya pradesh,BALAGHAT,2003,1,2,0,0,0,1,14,10,0,10,17,1,38
1666,Madhya pradesh,BARWANI,2003,2,4,0,0,0,0,18,0,0,6,24,0,30
1667,Madhya pradesh,BETUL,2003,2,10,0,0,0,0,9,0,0,27,21,0,48
1668,Madhya pradesh,BHIND,2003,3,9,2,0,2,7,10,0,0,133,24,9,166
1669,Madhya pradesh,BHOPAL,2003,0,8,0,0,0,0,10,110,0,92,18,0,220
1670,Madhya pradesh,BHOPAL RLY.,2003,2,0,0,0,0,0,1,3,0,0,3,0,6
1671,Madhya pradesh,BURHANPUR,2003,0,1,0,0,0,0,0,0,0,0,1,0,1
1672,Madhya pradesh,CHHATARPUR,2003,4,11,0,0,0,2,55,0,0,25,70,2,97
1673,Madhya pradesh,CHHINDWARA,2003,0,7,0,0,0,0,3,0,0,15,10,0,25
1674,Madhya pradesh,DAMOH,2003,2,6,1,0,1,0,41,77,0,26,50,1,154
1675,Madhya pradesh,DATIYA,2003,7,7,0,0,0,5,35,0,0,122,49,5,176
1676,Madhya pradesh,DEWAS,2003,0,11,1,0,0,1,23,0,0,406,35,1,442
1677,Madhya pradesh,DHAR,2003,1,3,0,0,0,0,0,0,0,19,4,0,23
1678,Madhya pradesh,DINDORI,2003,0,1,0,0,0,0,0,3,0,2,1,0,6
1679,Madhya pradesh,GUNA,2003,2,5,1,0,0,2,14,0,1,131,22,2,156
1680,Madhya pradesh,GWALIOR,2003,2,11,1,0,2,4,41,13,0,180,55,6,254
1681,Madhya pradesh,HARDA,2003,0,5,0,0,0,0,1,3,0,12,6,0,21
1682,Madhya pradesh,HOSHANGABAD,2003,1,6,0,0,0,0,47,0,0,20,54,0,74
1683,Madhya pradesh,INDORE,2003,3,5,2,0,0,2,94,1,0,101,104,2,208
1684,Madhya pradesh,INDORE RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,Madhya pradesh,JABALPUR,2003,3,10,1,0,0,0,8,47,0,25,22,0,94
1686,Madhya pradesh,JABALPUR RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,Madhya pradesh,JHABUA,2003,0,0,0,0,0,0,0,0,0,5,0,0,5
1688,Madhya pradesh,KATNI,2003,0,5,0,0,0,0,1,23,0,17,6,0,46
1689,Madhya pradesh,KHANDWA,2003,0,2,1,0,0,0,0,0,0,64,3,0,67
1690,Madhya pradesh,KHARGON,2003,1,2,0,0,0,0,0,0,0,12,3,0,15
1691,Madhya pradesh,MANDLA,2003,0,1,0,0,0,1,21,0,0,5,22,1,28
1692,Madhya pradesh,MANDSAUR,2003,2,7,2,0,0,1,8,5,0,140,19,1,165
1693,Madhya pradesh,MORENA,2003,1,14,0,0,0,5,23,0,0,231,38,5,274
1694,Madhya pradesh,NARSINGHPUR,2003,2,7,0,0,0,0,31,0,0,35,40,0,75
1695,Madhya pradesh,NEEMUCH,2003,0,3,0,0,0,0,0,0,0,31,3,0,34
1696,Madhya pradesh,PANNA,2003,3,8,0,0,0,0,3,33,0,67,14,0,114
1697,Madhya pradesh,RAISEN,2003,0,9,2,0,0,0,5,0,0,86,16,0,102
1698,Madhya pradesh,RAJGARH,2003,1,17,0,0,0,1,7,0,0,174,25,1,200
1699,Madhya pradesh,RATLAM,2003,1,8,1,0,0,2,16,1,0,127,26,2,156
1700,Madhya pradesh,REWA,2003,2,4,0,0,0,1,13,20,0,30,19,1,70
1701,Madhya pradesh,SAGAR,2003,5,13,2,0,0,2,10,0,0,196,30,2,228
1702,Madhya pradesh,SATNA,2003,0,14,2,0,1,2,33,0,0,108,49,3,160
1703,Madhya pradesh,SEONI,2003,0,5,0,0,0,0,12,18,0,13,17,0,48
1704,Madhya pradesh,SHAHDOL,2003,1,1,0,0,0,0,1,0,0,19,3,0,22
1705,Madhya pradesh,SHAJAPUR,2003,1,18,0,0,0,0,16,4,0,178,35,0,217
1706,Madhya pradesh,SHEOPUR,2003,2,2,0,0,0,0,7,57,0,54,11,0,122
1707,Madhya pradesh,SHIVPURI,2003,10,14,1,0,0,4,15,0,0,195,40,4,239
1708,Madhya pradesh,SIDHI,2003,2,5,2,0,0,0,6,14,0,10,15,0,39
1709,Madhya pradesh,SIHORE,2003,3,16,1,0,0,1,20,0,0,98,40,1,139
1710,Madhya pradesh,TIKAMGARH,2003,1,7,0,0,1,0,77,0,0,35,85,1,121
1711,Madhya pradesh,UJJAIN,2003,4,11,8,0,0,2,6,2,0,258,29,2,291
1712,Madhya pradesh,UMARIYA,2003,0,0,0,0,0,0,0,1,0,1,0,0,2
1713,Madhya pradesh,VIDISHA,2003,3,26,2,0,0,0,49,0,0,77,80,0,157
1714,Maharashtra,AHMEDNAGAR,2003,1,1,1,0,0,0,0,4,2,5,3,0,14
1715,Maharashtra,AKOLA,2003,0,5,0,0,0,0,1,6,2,7,6,0,21
1716,Maharashtra,AMRAVATI COMMR.,2003,0,3,0,0,0,0,0,5,1,3,3,0,12
1717,Maharashtra,AMRAVATI RURAL,2003,0,3,1,0,0,0,0,6,0,9,4,0,19
1718,Maharashtra,AURANGABAD COMMR.,2003,0,0,0,0,0,0,0,5,0,2,0,0,7
1719,Maharashtra,AURANGABAD RURAL,2003,0,1,0,0,0,0,0,4,0,12,1,0,17
1720,Maharashtra,BEED,2003,4,1,0,0,1,2,2,2,0,8,7,3,20
1721,Maharashtra,BHANDARA,2003,0,2,0,0,0,1,1,8,1,10,3,1,23
1722,Maharashtra,BULDHANA,2003,0,2,1,0,1,0,3,14,0,9,6,1,30
1723,Maharashtra,CHANDRAPUR,2003,0,4,0,0,0,0,0,1,1,0,4,0,6
1724,Maharashtra,DHULE,2003,1,1,0,0,0,0,3,2,0,0,5,0,7
1725,Maharashtra,GADCHIROLI,2003,0,1,0,0,0,0,0,3,0,3,1,0,7
1726,Maharashtra,GONDIA,2003,1,1,0,0,0,0,0,4,1,1,2,0,8
1727,Maharashtra,HINGOLI,2003,0,1,0,0,0,0,2,0,0,7,3,0,10
1728,Maharashtra,JALGAON,2003,0,3,1,0,0,0,1,6,0,17,5,0,28
1729,Maharashtra,JALNA,2003,3,1,1,0,0,0,2,3,4,14,7,0,28
1730,Maharashtra,KOLHAPUR,2003,0,4,0,0,0,0,0,9,1,11,4,0,25
1731,Maharashtra,LATUR,2003,1,3,0,0,0,0,5,7,0,5,9,0,21
1732,Maharashtra,MUMBAI,2003,0,0,0,0,0,0,0,7,0,5,0,0,12
1733,Maharashtra,MUMBAI RLY.,2003,0,1,0,0,0,0,0,0,0,0,1,0,1
1734,Maharashtra,NAGPUR COMMR.,2003,0,0,0,0,0,0,0,1,0,3,0,0,4
1735,Maharashtra,NAGPUR RLY.,2003,0,0,0,0,0,0,0,2,0,0,0,0,2
1736,Maharashtra,NAGPUR RURAL,2003,1,4,0,0,1,0,0,6,1,13,5,1,26
1737,Maharashtra,NANDED,2003,1,5,0,1,0,1,3,2,11,27,9,2,51
1738,Maharashtra,NANDURBAR,2003,1,0,0,0,0,0,1,16,0,6,2,0,24
1739,Maharashtra,NASIK COMMR.,2003,0,0,0,0,0,0,0,2,0,0,0,0,2
1740,Maharashtra,NASIK RURAL,2003,1,3,0,0,0,0,0,1,10,7,4,0,22
1741,Maharashtra,NAVI MUMBAI,2003,0,1,0,0,0,0,0,2,0,2,1,0,5
1742,Maharashtra,OSMANABAD,2003,1,2,0,0,0,0,1,3,0,7,4,0,14
1743,Maharashtra,PARBHANI,2003,0,1,0,0,0,1,4,10,2,11,5,1,29
1744,Maharashtra,PUNE COMMR.,2003,1,0,0,0,0,0,0,9,0,3,1,0,13
1745,Maharashtra,PUNE RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1746,Maharashtra,PUNE RURAL,2003,0,4,0,0,0,0,2,2,1,5,6,0,14
1747,Maharashtra,RAIGAD,2003,0,1,0,0,0,0,0,4,0,4,1,0,9
1748,Maharashtra,RATNAGIRI,2003,0,0,0,0,0,0,0,4,1,1,0,0,6
1749,Maharashtra,SANGLI,2003,0,3,0,0,0,0,2,10,0,7,5,0,22
1750,Maharashtra,SATARA,2003,0,1,0,0,0,0,2,4,0,6,3,0,13
1751,Maharashtra,SINDHUDURG,2003,0,0,0,0,0,0,0,2,0,1,0,0,3
1752,Maharashtra,SOLAPUR COMMR.,2003,0,0,0,0,0,0,0,10,0,2,0,0,12
1753,Maharashtra,SOLAPUR RURAL,2003,2,2,0,0,0,0,2,4,2,19,6,0,31
1754,Maharashtra,THANE COMMR.,2003,0,2,0,0,0,0,0,6,0,5,2,0,13
1755,Maharashtra,THANE RURAL,2003,0,2,1,0,0,0,2,10,0,9,5,0,24
1756,Maharashtra,WARDHA,2003,0,2,0,0,0,0,0,0,2,4,2,0,8
1757,Maharashtra,WASHIM,2003,0,0,0,0,0,0,1,10,0,14,1,0,25
1758,Maharashtra,YAVATMAL,2003,0,1,1,0,0,0,1,0,0,6,3,0,9
1759,Manipur,BISHNUPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,Manipur,CHANDEL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,Manipur,CHURACHANDPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,Manipur,IMPHAL(EAST),2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,Manipur,IMPHAL(WEST),2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,Manipur,SENAPATI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,Manipur,TAMENGLONG,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,Manipur,THOUBAL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,Manipur,UKHRUL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,Meghalaya,GARO HILLS EAST,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,Meghalaya,GARO HILLS SOUTH,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,Meghalaya,GARO HILLS WEST,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,Meghalaya,JAINTIA HILLS,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,Meghalaya,KHASI HILLS EAST,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,Meghalaya,KHASI HILLS WEST,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,Meghalaya,RI-BHOI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,Mizoram,AIZAWL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1776,Mizoram,CHAMPHAI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,Mizoram,KOLASIB,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,Mizoram,LAWNGTLAI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1779,Mizoram,LUNGLEI,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,Mizoram,MAMIT,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,Mizoram,SAIHA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1782,Mizoram,SERCHHIP,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,Nagaland,DIMAPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,Nagaland,KIPHIRE,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,Nagaland,KOHIMA,2003,5,2,0,0,0,0,0,0,0,16,7,0,23
1786,Nagaland,MOKOKCHUNG,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1787,Nagaland,MON,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,Nagaland,PEREN,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1789,Nagaland,PHEK,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,Nagaland,TUENSANG,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,Nagaland,WOKHA,2003,0,0,0,0,0,0,0,0,0,2,0,0,2
1792,Nagaland,ZUNHEBOTO,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1793,Odisha,ANGUL,2003,0,0,0,0,0,0,11,11,0,8,11,0,30
1794,Odisha,BALASORE,2003,0,1,0,0,0,0,3,0,0,24,4,0,28
1795,Odisha,BARAGARH,2003,0,0,0,0,0,0,0,0,0,23,0,0,23
1796,Odisha,BERHAMPUR,2003,0,1,0,0,0,1,0,0,0,6,1,1,8
1797,Odisha,BHADRAK,2003,0,0,0,0,0,0,31,0,0,0,31,0,31
1798,Odisha,BOLANGIR,2003,1,3,0,0,0,1,3,14,0,29,7,1,51
1799,Odisha,BOUDH,2003,1,0,0,0,0,0,0,7,0,6,1,0,14
1800,Odisha,CUTTACK,2003,0,0,0,0,0,0,0,110,0,0,0,0,110
1801,Odisha,DEOGARH,2003,0,0,0,0,0,0,5,1,0,10,5,0,16
1802,Odisha,DHENKANAL,2003,0,1,0,0,0,0,3,16,0,12,4,0,32
1803,Odisha,GAJAPATI,2003,0,0,0,0,0,0,0,1,0,1,0,0,2
1804,Odisha,GANJAM,2003,2,0,4,0,1,1,8,35,0,35,14,2,86
1805,Odisha,JAGATSINGHPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,Odisha,JAJPUR,2003,0,0,0,0,0,0,0,0,0,32,0,0,32
1807,Odisha,JHARSUGUDA,2003,0,1,0,0,0,0,1,0,0,4,2,0,6
1808,Odisha,KALAHANDI,2003,0,0,0,0,0,0,9,0,0,2,9,0,11
1809,Odisha,KANDHAMAL,2003,0,1,0,0,0,1,26,28,0,0,27,1,56
1810,Odisha,KENDRAPARA,2003,0,0,0,0,0,0,14,36,0,22,14,0,72
1811,Odisha,KEONJHAR,2003,1,2,0,0,2,1,12,0,0,0,15,3,18
1812,Odisha,KHURDA,2003,0,2,0,0,0,0,32,54,0,20,34,0,108
1813,Odisha,KORAPUT,2003,1,5,0,0,0,0,0,0,0,20,6,0,26
1814,Odisha,MALKANGIR,2003,0,3,0,0,0,0,2,12,0,5,5,0,22
1815,Odisha,MAYURBHANJ,2003,1,4,0,0,0,0,0,34,0,82,5,0,121
1816,Odisha,NAYAGARH,2003,0,0,2,0,0,0,25,35,0,8,27,0,70
1817,Odisha,NOWRANGPUR,2003,0,3,2,0,0,3,4,0,0,0,9,3,12
1818,Odisha,NUAPADA,2003,1,0,0,0,1,0,3,18,0,13,4,1,36
1819,Odisha,PURI,2003,0,2,0,0,0,4,19,0,0,44,21,4,69
1820,Odisha,RAYAGADA,2003,0,0,0,0,0,0,10,0,0,5,10,0,15
1821,Odisha,ROURKELA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,Odisha,SAMBALPUR,2003,0,0,0,0,0,0,4,8,0,9,4,0,21
1823,Odisha,SONEPUR,2003,0,0,0,0,0,0,7,14,0,7,7,0,28
1824,Odisha,SRP(CUTTACK),2003,0,0,0,0,0,0,1,1,0,0,1,0,2
1825,Odisha,SRP(ROURKELA),2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,Odisha,SUNDARGARH,2003,0,0,0,0,0,0,1,0,0,0,1,0,1
1827,Punjab,AMRITSAR,2003,0,1,0,0,0,0,0,1,0,1,1,0,3
1828,Punjab,BARNALA,2003,0,0,0,0,0,0,0,2,0,0,0,0,2
1829,Punjab,BATALA,2003,0,0,0,0,0,0,0,2,0,3,0,0,5
1830,Punjab,BHATINDA,2003,0,3,0,0,0,0,1,5,0,7,4,0,16
1831,Punjab,FARIDKOT,2003,0,0,0,0,0,0,0,2,0,1,0,0,3
1832,Punjab,FATEHGARH SAHIB,2003,0,0,0,0,0,0,0,0,0,1,0,0,1
1833,Punjab,FEROZEPUR,2003,0,0,0,0,0,0,0,6,0,4,0,0,10
1834,Punjab,G.R.P,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,Punjab,GURDASPUR,2003,0,1,0,0,0,0,0,0,0,2,1,0,3
1836,Punjab,HOSHIARPUR,2003,0,0,0,0,0,0,0,1,0,2,0,0,3
1837,Punjab,JAGRAON,2003,0,1,0,0,0,0,0,4,0,1,1,0,6
1838,Punjab,JALANDHAR,2003,0,0,0,0,0,0,1,6,0,6,1,0,13
1839,Punjab,KAPURTHALA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,Punjab,KHANNA,2003,0,0,0,0,0,0,0,0,0,1,0,0,1
1841,Punjab,LUDHIANA,2003,0,0,0,0,0,0,2,7,1,10,2,0,20
1842,Punjab,MAJITHA,2003,0,0,0,0,0,0,0,3,0,1,0,0,4
1843,Punjab,MANSA,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,Punjab,MOGA,2003,0,0,0,0,0,0,0,1,0,2,0,0,3
1845,Punjab,MUKTSAR,2003,0,2,1,0,0,0,2,0,0,3,5,0,8
1846,Punjab,NAWAN SHAHR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,Punjab,PATIALA,2003,0,0,0,0,0,0,1,6,0,5,1,0,12
1848,Punjab,ROPAR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,Punjab,SANGRUR,2003,0,0,0,0,0,0,1,5,0,5,1,0,11
1850,Punjab,TARN TARAN,2003,0,0,0,0,0,0,2,0,0,1,2,0,3
1851,Rajasthan,AJMER,2003,0,2,4,0,1,1,2,14,0,108,8,2,132
1852,Rajasthan,ALWAR,2003,4,10,0,0,0,8,5,2,0,156,19,8,185
1853,Rajasthan,BANSWARA,2003,0,0,0,0,0,0,6,0,0,2,6,0,8
1854,Rajasthan,BARAN,2003,0,10,1,0,0,1,4,27,0,39,15,1,82
1855,Rajasthan,BARMER,2003,1,0,0,0,0,0,0,108,0,0,1,0,109
1856,Rajasthan,BHARATPUR,2003,2,6,0,0,0,3,4,1,0,345,12,3,361
1857,Rajasthan,BHILWARA,2003,1,3,0,0,0,1,1,119,0,0,5,1,125
1858,Rajasthan,BIKANER,2003,2,7,0,0,0,0,3,3,0,152,12,0,167
1859,Rajasthan,BUNDI,2003,1,2,0,0,0,1,3,13,0,45,6,1,65
1860,Rajasthan,CHITTORGARH,2003,0,3,1,0,0,0,0,8,0,118,4,0,130
